Event	Sub-task	Train Data (size, pos., neg.)	Dev Data (size, pos., neg.)	Test Data (size, pos., neg.)	model name	accuracy	CM	pos. F1	SQuAD_total	SQuAD_EM	SQuAD_F1	SQuAD_Pos. EM_F1_total	SQuAD_Pos. EM	SQuAD_Pos. F1	dev_threshold	dev_N	dev_F1	dev_P	dev_R	dev_TP	dev_FP	dev_FN	N	F1	P	R	TP	FP	FN
tested_positive	age	(14849, {'age': 32, 'close_contact': 76, 'employer': 136, 'gender_male': 242, 'gender_female': 103, 'name': 1001, 'recent_travel': 64, 'relation': 78, 'when': 39, 'where': 304}, {'age': 14817, 'close_contact': 14773, 'employer': 14713, 'gender_male': 14607, 'gender_female': 14746, 'name': 13848, 'recent_travel': 14785, 'relation': 14771, 'when': 14810, 'where': 14545})	(3385, {'age': 16, 'close_contact': 20, 'employer': 37, 'gender_male': 62, 'gender_female': 31, 'name': 281, 'recent_travel': 31, 'relation': 2, 'when': 11, 'where': 91}, {'age': 3369, 'close_contact': 3365, 'employer': 3348, 'gender_male': 3323, 'gender_female': 3354, 'name': 3104, 'recent_travel': 3354, 'relation': 3383, 'when': 3374, 'where': 3294})	(5790, {'age': 15, 'close_contact': 39, 'employer': 77, 'gender_male': 126, 'gender_female': 46, 'name': 471, 'recent_travel': 34, 'relation': 12, 'when': 13, 'where': 150}, {'age': 5775, 'close_contact': 5751, 'employer': 5713, 'gender_male': 5664, 'gender_female': 5744, 'name': 5319, 'recent_travel': 5756, 'relation': 5778, 'when': 5777, 'where': 5640})	MultiTaskBertForCovidEntityClassification	0.9984455958549223	[[5773, 2], [7, 8]]	0.64	601.0	98.50249584026622	98.59757546945566	16.0	50.0	53.57142857142857	0.1	16.0	0.5806451612903225	0.6	0.5625	9.0	6.0	7.0	15.0	0.6666666666666666	0.6666666666666666	0.6666666666666666	10.0	5.0	5.0
tested_positive	close_contact	(14849, {'age': 32, 'close_contact': 76, 'employer': 136, 'gender_male': 242, 'gender_female': 103, 'name': 1001, 'recent_travel': 64, 'relation': 78, 'when': 39, 'where': 304}, {'age': 14817, 'close_contact': 14773, 'employer': 14713, 'gender_male': 14607, 'gender_female': 14746, 'name': 13848, 'recent_travel': 14785, 'relation': 14771, 'when': 14810, 'where': 14545})	(3385, {'age': 16, 'close_contact': 20, 'employer': 37, 'gender_male': 62, 'gender_female': 31, 'name': 281, 'recent_travel': 31, 'relation': 2, 'when': 11, 'where': 91}, {'age': 3369, 'close_contact': 3365, 'employer': 3348, 'gender_male': 3323, 'gender_female': 3354, 'name': 3104, 'recent_travel': 3354, 'relation': 3383, 'when': 3374, 'where': 3294})	(5790, {'age': 15, 'close_contact': 39, 'employer': 77, 'gender_male': 126, 'gender_female': 46, 'name': 471, 'recent_travel': 34, 'relation': 12, 'when': 13, 'where': 150}, {'age': 5775, 'close_contact': 5751, 'employer': 5713, 'gender_male': 5664, 'gender_female': 5744, 'name': 5319, 'recent_travel': 5756, 'relation': 5778, 'when': 5777, 'where': 5640})	MultiTaskBertForCovidEntityClassification	0.992573402417962	[[5740, 11], [32, 7]]	0.24561403508771928	601.0	94.67554076539102	94.78646699944537	29.0	24.137931034482758	26.4367816091954	0.1	20.0	0.37209302325581395	0.34782608695652173	0.4	8.0	15.0	12.0	39.0	0.27027027027027023	0.2857142857142857	0.2564102564102564	10.0	25.0	29.0
tested_positive	employer	(14849, {'age': 32, 'close_contact': 76, 'employer': 136, 'gender_male': 242, 'gender_female': 103, 'name': 1001, 'recent_travel': 64, 'relation': 78, 'when': 39, 'where': 304}, {'age': 14817, 'close_contact': 14773, 'employer': 14713, 'gender_male': 14607, 'gender_female': 14746, 'name': 13848, 'recent_travel': 14785, 'relation': 14771, 'when': 14810, 'where': 14545})	(3385, {'age': 16, 'close_contact': 20, 'employer': 37, 'gender_male': 62, 'gender_female': 31, 'name': 281, 'recent_travel': 31, 'relation': 2, 'when': 11, 'where': 91}, {'age': 3369, 'close_contact': 3365, 'employer': 3348, 'gender_male': 3323, 'gender_female': 3354, 'name': 3104, 'recent_travel': 3354, 'relation': 3383, 'when': 3374, 'where': 3294})	(5790, {'age': 15, 'close_contact': 39, 'employer': 77, 'gender_male': 126, 'gender_female': 46, 'name': 471, 'recent_travel': 34, 'relation': 12, 'when': 13, 'where': 150}, {'age': 5775, 'close_contact': 5751, 'employer': 5713, 'gender_male': 5664, 'gender_female': 5744, 'name': 5319, 'recent_travel': 5756, 'relation': 5778, 'when': 5777, 'where': 5640})	MultiTaskBertForCovidEntityClassification	0.9879101899827288	[[5702, 11], [59, 18]]	0.33962264150943394	604.0	91.55629139072848	91.83590875643856	62.0	30.64516129032258	33.369175627240146	0.1	37.0	0.393939393939394	0.4482758620689655	0.35135135135135137	13.0	16.0	24.0	77.0	0.38167938931297707	0.46296296296296297	0.3246753246753247	25.0	29.0	52.0
tested_positive	gender_male	(14849, {'age': 32, 'close_contact': 76, 'employer': 136, 'gender_male': 242, 'gender_female': 103, 'name': 1001, 'recent_travel': 64, 'relation': 78, 'when': 39, 'where': 304}, {'age': 14817, 'close_contact': 14773, 'employer': 14713, 'gender_male': 14607, 'gender_female': 14746, 'name': 13848, 'recent_travel': 14785, 'relation': 14771, 'when': 14810, 'where': 14545})	(3385, {'age': 16, 'close_contact': 20, 'employer': 37, 'gender_male': 62, 'gender_female': 31, 'name': 281, 'recent_travel': 31, 'relation': 2, 'when': 11, 'where': 91}, {'age': 3369, 'close_contact': 3365, 'employer': 3348, 'gender_male': 3323, 'gender_female': 3354, 'name': 3104, 'recent_travel': 3354, 'relation': 3383, 'when': 3374, 'where': 3294})	(5790, {'age': 15, 'close_contact': 39, 'employer': 77, 'gender_male': 126, 'gender_female': 46, 'name': 471, 'recent_travel': 34, 'relation': 12, 'when': 13, 'where': 150}, {'age': 5775, 'close_contact': 5751, 'employer': 5713, 'gender_male': 5664, 'gender_female': 5744, 'name': 5319, 'recent_travel': 5756, 'relation': 5778, 'when': 5777, 'where': 5640})	MultiTaskBertForCovidEntityClassification	0.9835924006908463	[[5617, 47], [48, 78]]	0.6215139442231075	614.0	87.94788273615636	89.26037950467918	120.0	65.0	71.71560846560847	0.9	62.0	0.671875	0.6515151515151515	0.6935483870967742	43.0	23.0	19.0	126.0	0.6278026905829597	0.7216494845360825	0.5555555555555556	70.0	27.0	56.0
tested_positive	gender_female	(14849, {'age': 32, 'close_contact': 76, 'employer': 136, 'gender_male': 242, 'gender_female': 103, 'name': 1001, 'recent_travel': 64, 'relation': 78, 'when': 39, 'where': 304}, {'age': 14817, 'close_contact': 14773, 'employer': 14713, 'gender_male': 14607, 'gender_female': 14746, 'name': 13848, 'recent_travel': 14785, 'relation': 14771, 'when': 14810, 'where': 14545})	(3385, {'age': 16, 'close_contact': 20, 'employer': 37, 'gender_male': 62, 'gender_female': 31, 'name': 281, 'recent_travel': 31, 'relation': 2, 'when': 11, 'where': 91}, {'age': 3369, 'close_contact': 3365, 'employer': 3348, 'gender_male': 3323, 'gender_female': 3354, 'name': 3104, 'recent_travel': 3354, 'relation': 3383, 'when': 3374, 'where': 3294})	(5790, {'age': 15, 'close_contact': 39, 'employer': 77, 'gender_male': 126, 'gender_female': 46, 'name': 471, 'recent_travel': 34, 'relation': 12, 'when': 13, 'where': 150}, {'age': 5775, 'close_contact': 5751, 'employer': 5713, 'gender_male': 5664, 'gender_female': 5744, 'name': 5319, 'recent_travel': 5756, 'relation': 5778, 'when': 5777, 'where': 5640})	MultiTaskBertForCovidEntityClassification	0.9948186528497409	[[5737, 7], [23, 23]]	0.605263157894737	603.0	96.35157545605307	96.52925846955698	41.0	56.09756097560975	58.710801393728225	0.1	31.0	0.5660377358490567	0.6818181818181818	0.4838709677419355	15.0	7.0	16.0	46.0	0.617283950617284	0.7142857142857143	0.5434782608695652	25.0	10.0	21.0
tested_positive	name	(14849, {'age': 32, 'close_contact': 76, 'employer': 136, 'gender_male': 242, 'gender_female': 103, 'name': 1001, 'recent_travel': 64, 'relation': 78, 'when': 39, 'where': 304}, {'age': 14817, 'close_contact': 14773, 'employer': 14713, 'gender_male': 14607, 'gender_female': 14746, 'name': 13848, 'recent_travel': 14785, 'relation': 14771, 'when': 14810, 'where': 14545})	(3385, {'age': 16, 'close_contact': 20, 'employer': 37, 'gender_male': 62, 'gender_female': 31, 'name': 281, 'recent_travel': 31, 'relation': 2, 'when': 11, 'where': 91}, {'age': 3369, 'close_contact': 3365, 'employer': 3348, 'gender_male': 3323, 'gender_female': 3354, 'name': 3104, 'recent_travel': 3354, 'relation': 3383, 'when': 3374, 'where': 3294})	(5790, {'age': 15, 'close_contact': 39, 'employer': 77, 'gender_male': 126, 'gender_female': 46, 'name': 471, 'recent_travel': 34, 'relation': 12, 'when': 13, 'where': 150}, {'age': 5775, 'close_contact': 5751, 'employer': 5713, 'gender_male': 5664, 'gender_female': 5744, 'name': 5319, 'recent_travel': 5756, 'relation': 5778, 'when': 5777, 'where': 5640})	MultiTaskBertForCovidEntityClassification	0.959412780656304	[[5204, 115], [120, 351]]	0.7491995731056562	684.0	74.12280701754386	78.79186602870816	495.0	71.11111111111111	77.56290174471997	0.2	281.0	0.734006734006734	0.6964856230031949	0.7758007117437722	218.0	95.0	63.0	471.0	0.7497403946002077	0.733739837398374	0.7664543524416136	361.0	131.0	110.0
tested_positive	recent_travel	(14849, {'age': 32, 'close_contact': 76, 'employer': 136, 'gender_male': 242, 'gender_female': 103, 'name': 1001, 'recent_travel': 64, 'relation': 78, 'when': 39, 'where': 304}, {'age': 14817, 'close_contact': 14773, 'employer': 14713, 'gender_male': 14607, 'gender_female': 14746, 'name': 13848, 'recent_travel': 14785, 'relation': 14771, 'when': 14810, 'where': 14545})	(3385, {'age': 16, 'close_contact': 20, 'employer': 37, 'gender_male': 62, 'gender_female': 31, 'name': 281, 'recent_travel': 31, 'relation': 2, 'when': 11, 'where': 91}, {'age': 3369, 'close_contact': 3365, 'employer': 3348, 'gender_male': 3323, 'gender_female': 3354, 'name': 3104, 'recent_travel': 3354, 'relation': 3383, 'when': 3374, 'where': 3294})	(5790, {'age': 15, 'close_contact': 39, 'employer': 77, 'gender_male': 126, 'gender_female': 46, 'name': 471, 'recent_travel': 34, 'relation': 12, 'when': 13, 'where': 150}, {'age': 5775, 'close_contact': 5751, 'employer': 5713, 'gender_male': 5664, 'gender_female': 5744, 'name': 5319, 'recent_travel': 5756, 'relation': 5778, 'when': 5777, 'where': 5640})	MultiTaskBertForCovidEntityClassification	0.9932642487046632	[[5742, 14], [25, 9]]	0.3157894736842105	605.0	95.04132231404958	95.3581267217631	31.0	29.032258064516128	35.215053763440864	0.2	31.0	0.41509433962264153	0.5	0.3548387096774194	11.0	11.0	20.0	34.0	0.3278688524590164	0.37037037037037035	0.29411764705882354	10.0	17.0	24.0
tested_positive	relation	(14849, {'age': 32, 'close_contact': 76, 'employer': 136, 'gender_male': 242, 'gender_female': 103, 'name': 1001, 'recent_travel': 64, 'relation': 78, 'when': 39, 'where': 304}, {'age': 14817, 'close_contact': 14773, 'employer': 14713, 'gender_male': 14607, 'gender_female': 14746, 'name': 13848, 'recent_travel': 14785, 'relation': 14771, 'when': 14810, 'where': 14545})	(3385, {'age': 16, 'close_contact': 20, 'employer': 37, 'gender_male': 62, 'gender_female': 31, 'name': 281, 'recent_travel': 31, 'relation': 2, 'when': 11, 'where': 91}, {'age': 3369, 'close_contact': 3365, 'employer': 3348, 'gender_male': 3323, 'gender_female': 3354, 'name': 3104, 'recent_travel': 3354, 'relation': 3383, 'when': 3374, 'where': 3294})	(5790, {'age': 15, 'close_contact': 39, 'employer': 77, 'gender_male': 126, 'gender_female': 46, 'name': 471, 'recent_travel': 34, 'relation': 12, 'when': 13, 'where': 150}, {'age': 5775, 'close_contact': 5751, 'employer': 5713, 'gender_male': 5664, 'gender_female': 5744, 'name': 5319, 'recent_travel': 5756, 'relation': 5778, 'when': 5777, 'where': 5640})	MultiTaskBertForCovidEntityClassification	0.998272884283247	[[5774, 4], [6, 6]]	0.5454545454545454	599.0	98.8313856427379	98.8313856427379	9.0	66.66666666666667	66.66666666666667	0.8	2.0	0.6666666666666666	1.0	0.5	1.0	0.0	1.0	12.0	0.5555555555555556	0.8333333333333334	0.4166666666666667	5.0	1.0	7.0
tested_positive	when	(14849, {'age': 32, 'close_contact': 76, 'employer': 136, 'gender_male': 242, 'gender_female': 103, 'name': 1001, 'recent_travel': 64, 'relation': 78, 'when': 39, 'where': 304}, {'age': 14817, 'close_contact': 14773, 'employer': 14713, 'gender_male': 14607, 'gender_female': 14746, 'name': 13848, 'recent_travel': 14785, 'relation': 14771, 'when': 14810, 'where': 14545})	(3385, {'age': 16, 'close_contact': 20, 'employer': 37, 'gender_male': 62, 'gender_female': 31, 'name': 281, 'recent_travel': 31, 'relation': 2, 'when': 11, 'where': 91}, {'age': 3369, 'close_contact': 3365, 'employer': 3348, 'gender_male': 3323, 'gender_female': 3354, 'name': 3104, 'recent_travel': 3354, 'relation': 3383, 'when': 3374, 'where': 3294})	(5790, {'age': 15, 'close_contact': 39, 'employer': 77, 'gender_male': 126, 'gender_female': 46, 'name': 471, 'recent_travel': 34, 'relation': 12, 'when': 13, 'where': 150}, {'age': 5775, 'close_contact': 5751, 'employer': 5713, 'gender_male': 5664, 'gender_female': 5744, 'name': 5319, 'recent_travel': 5756, 'relation': 5778, 'when': 5777, 'where': 5640})	MultiTaskBertForCovidEntityClassification	0.9968911917098445	[[5766, 11], [7, 6]]	0.4000000000000001	603.0	97.01492537313433	97.07020453289111	14.0	42.857142857142854	45.238095238095234	0.8	11.0	0.5263157894736842	0.625	0.45454545454545453	5.0	3.0	6.0	13.0	0.46153846153846156	0.46153846153846156	0.46153846153846156	6.0	7.0	7.0
tested_positive	where	(14849, {'age': 32, 'close_contact': 76, 'employer': 136, 'gender_male': 242, 'gender_female': 103, 'name': 1001, 'recent_travel': 64, 'relation': 78, 'when': 39, 'where': 304}, {'age': 14817, 'close_contact': 14773, 'employer': 14713, 'gender_male': 14607, 'gender_female': 14746, 'name': 13848, 'recent_travel': 14785, 'relation': 14771, 'when': 14810, 'where': 14545})	(3385, {'age': 16, 'close_contact': 20, 'employer': 37, 'gender_male': 62, 'gender_female': 31, 'name': 281, 'recent_travel': 31, 'relation': 2, 'when': 11, 'where': 91}, {'age': 3369, 'close_contact': 3365, 'employer': 3348, 'gender_male': 3323, 'gender_female': 3354, 'name': 3104, 'recent_travel': 3354, 'relation': 3383, 'when': 3374, 'where': 3294})	(5790, {'age': 15, 'close_contact': 39, 'employer': 77, 'gender_male': 126, 'gender_female': 46, 'name': 471, 'recent_travel': 34, 'relation': 12, 'when': 13, 'where': 150}, {'age': 5775, 'close_contact': 5751, 'employer': 5713, 'gender_male': 5664, 'gender_female': 5744, 'name': 5319, 'recent_travel': 5756, 'relation': 5778, 'when': 5777, 'where': 5640})	MultiTaskBertForCovidEntityClassification	0.97426597582038	[[5548, 92], [57, 93]]	0.555223880597015	641.0	80.34321372854915	81.61274546219944	157.0	59.87261146496815	65.05585886159133	0.1	91.0	0.5021645021645021	0.4142857142857143	0.6373626373626373	58.0	82.0	33.0	150.0	0.5669291338582677	0.4675324675324675	0.72	108.0	123.0	42.0
